BlockHeight,UnixTimestamp,TxnFee(ETH),TxnFee (Binary),Status (Tags),Block Generation Rate,Stake Reward,Coin Stake,Stake Distribution Rate,Txnsize,Coin Days,Coin Age,Block Density (%),Block Score,Coin Day Weight,Node Label
6302580,1658111341,0,1,0,0,0,50,3850,40,1,71,1652,3833,56,0
6021680,1527415196,0.02634451,1,0,0,1,39,1572,75,2,91,1394,2382,24,0
15450240,1661999151,0.505625197,1,1,1,1,112,2705,71,1,87,1488,5434,53,1
15302620,1654508928,0.599076745,1,1,1,1,71,1589,24,1,86,1119,2267,56,1
6175229,1524145611,0.014753754,0,0,0,1,68,2383,77,2,79,1536,3211,0,0
5686030,1524145611,0,1,1,0,1,33,1531,72,1,51,1397,1996,26,0
14244978,1650885492,0.463311695,1,1,1,1,40,2305,38,1,30,1270,2419,52,0
5661012,1524145611,0,1,0,0,1,40,1112,56,2,107,3139,3182,0,0
15450240,1661999151,0.481909283,1,1,1,1,55,1161,52,1,102,1415,4755,55,1
5468684,1526943475,0,1,0,0,0,58,1550,71,2,61,1610,2001,53,0
5889806,1524145611,0,1,0,0,1,64,940,63,1,118,1248,1387,30,0
5787259,1531783882,0,0,0,0,1,68,1452,42,3,39,1055,1121,0,0
6221636,1659508834,0.011082043,0,0,0,1,30,1557,72,3,112,2368,3438,29,0
15450240,1655661607,0.537554816,1,1,1,1,99,3850,79,1,54,2024,3405,55,1
15450240,1642068802,0.519478056,1,1,1,1,113,1496,27,1,64,1538,4910,53,1
5540438,1524145611,0,1,0,0,1,40,1142,72,1,85,1437,4752,0,0
15117670,1524145611,0.02076896,1,1,1,1,54,1218,33,2,87,1327,2140,57,0
15450240,1524145611,0.487151638,1,1,1,1,46,1715,80,1,89,1759,3695,25,1
5468684,1526289179,0,1,0,0,1,41,1251,78,2,60,1511,3291,0,0
15450240,1626079972,0,1,0,0,1,91,2874,41,3,75,1660,6314,59,1
5807943,1524145611,0,0,0,0,1,30,1090,56,3,82,1244,1191,22,0
15450240,1661999151,0.465000617,1,1,1,1,109,878,58,1,76,1475,5260,55,1
15450240,1661999151,0.010106986,1,1,0,1,62,1690,48,3,264,1576,6679,55,1
15450240,1526387889,0,1,0,0,1,82,1632,62,3,85,2656,1575,0,0
5805446,1526632175,0,1,0,0,1,45,1020,47,3,109,1554,3486,30,0
5888266,1524145611,0,1,1,0,1,38,1740,6,1,84,1484,2846,25,0
15450240,1660071054,0.493278635,1,1,1,1,81,722,62,1,79,2981,3639,56,1
15450240,1646649350,0.492340767,1,1,1,1,81,1424,63,1,93,2537,5825,57,1
9045213,1606828335,0,0,0,0,1,36,1421,76,1,79,1650,6358,51,0
15450240,1524145611,0.471860811,1,0,1,1,33,1745,60,1,70,1487,4476,58,1
5667213,1524145611,0,1,0,0,1,42,2397,53,2,115,1502,2788,30,0
6007818,1524145611,0,1,0,1,1,54,1680,18,1,130,1390,2457,29,1
15450240,1526414593,0,1,0,0,1,36,2417,58,2,99,1438,2403,59,1
15450240,1661999151,0.486607233,1,1,1,1,47,2991,70,1,83,2017,3137,50,1
13265493,1524145611,0,1,0,0,1,32,2534,77,3,74,1607,6309,23,1
