BlockHeight,UnixTimestamp,TxnFee(ETH),TxnFee (Binary),Status (Tags),Block Generation Rate,Stake Reward,Coin Stake,Stake Distribution Rate,Txnsize,Coin Days,Coin Age,Block Density (%),Block Score,Coin Day Weight,Node Label
15450240,1661999151,0.539296966,1,1,1,1,75,1875,24,1,75,1622,5200,60,1
15450240,1661999151,0.539296966,1,1,1,1,50,1250,28,1,50,1133,2590,60,1
15450240,1661999151,0.539296966,1,1,1,1,59,1475,23,1,59,428,3675,60,1
15450240,1661999151,0.539296966,1,1,1,1,34,850,49,1,34,1765,1720,60,1
15450240,1661999151,0.539296966,1,1,1,1,49,1225,17,1,49,424,2800,60,1
15450240,1661999151,0.539296966,1,1,1,1,98,2450,64,3,294,1333,3243,60,1
15450240,1661999151,0.539296966,1,1,1,1,91,2275,23,1,91,1078,3271,90,1
15450240,1661999151,0.539296966,1,1,1,1,124,3100,67,1,124,341,4724,60,1
15450240,1661999151,0.539296966,1,1,1,1,56,1400,5,3,168,873,2356,0,1
15450240,1661999151,0.539296966,1,1,1,1,32,800,67,1,32,1527,2537,30,1
15450240,1661999151,0.539296966,1,1,1,1,30,750,51,3,90,997,2723,60,1
15450240,1661999151,0.539296966,1,1,1,1,85,2125,70,1,85,1902,2277,30,1
15450240,1661999151,0.539296966,1,1,1,1,30,750,13,1,30,1572,3506,60,1
15450240,1661999151,0.539296966,1,1,1,1,51,1275,64,1,51,1308,1092,30,1
15450240,1661999151,0.539296966,1,1,1,1,72,1800,27,1,72,1089,3787,60,1
15450240,1661999151,0.539296966,1,1,1,1,74,1850,36,1,74,2537,4833,30,1
15450240,1661999151,0.539296966,1,1,1,1,51,1275,43,3,153,1039,3384,60,1
15450240,1661999151,0.539296966,1,1,1,1,57,1425,37,1,57,549,4579,60,1
15450240,1661999151,0.539296966,1,1,1,1,34,850,39,1,34,1298,4008,30,1
15450240,1661999151,0.539296966,1,1,1,1,57,1425,42,3,171,1663,5153,60,1
15450240,1661999151,0.539296966,1,1,1,1,60,1500,29,1,60,1042,3326,60,1
15450240,1661999151,0.539296966,1,1,1,1,84,2100,21,1,84,1320,3819,60,1
15450240,1661999151,0.539296966,1,1,1,1,88,2200,53,1,88,2026,2573,30,1
15450240,1661999151,0.539296966,1,1,1,1,81,2025,64,1,81,850,3852,0,1
15450240,1661999151,0.539296966,1,1,1,1,50,1250,75,1,50,1289,4852,60,1
15450240,1661999151,0.539296966,1,1,1,1,74,1850,56,1,74,1043,3661,30,1
15450240,1661999151,0.539296966,1,1,1,1,71,1775,50,2,142,1936,4197,60,1
15450240,1661999151,0.539296966,1,1,1,1,154,3850,418,1,154,1277,2877,0,1
